num_steps,runtime,score,slope,intercept,inlier_log_var,outlier_log_var
1,3.2510020733,0,1.2423381479,-1.4984647097,-0.5831103770,-1.5088854423
2,9.7795701027,0,1.2423381479,-1.4984647097,-0.5831103770,-1.5088854423
3,18.2691030502,0,0.9473409021,-0.4992888914,-0.5831103770,-0.7731806522
4,29.4775869846,0,0.9473409021,-0.4992888914,0.1018134403,-0.4936792770
5,43.5688450336,0,0.9473409021,-0.0371101269,0.1018134403,-0.4936792770
6,59.9677278996,0,0.9473409021,0.1026517909,0.1329970920,-0.1351399810
7,78.5865778923,0,0.5679937942,0.4408880776,0.5606223946,-0.1351399810
8,100.0458519459,0,0.5679937942,0.4408880776,0.8458835790,-0.1351399810
9,123.7524278164,0,0.3120443587,1.0131030122,1.3814271044,-0.1351399810
10,150.0510716438,0,0.3120443587,1.3122869301,1.3814271044,-0.1351399810
11,178.3030955791,0,0.0529981538,1.4775720680,1.3814271044,-0.1461916335
12,209.0237724781,0,-0.2111921857,1.4775720680,1.4004382293,0.5246472984
13,241.8161923885,0,-0.2111921857,2.1812569203,1.8419478829,0.7458914580
14,277.3089582920,0,-0.2111921857,2.0764439065,2.5001128495,0.7458914580
15,315.1048252583,0,-0.2111921857,2.1290485934,2.8621911714,1.0006269601
16,356.0012211800,0,-0.2111921857,2.1290485934,2.8621911714,1.2466353292
17,398.8511891365,0,-0.3068468832,1.8777231060,3.2693652096,1.2466353292
18,444.6870429516,0,-0.3068468832,1.8777231060,3.2693652096,1.2466353292
19,493.7925648689,0,-0.3068468832,1.8777231060,3.2693652096,1.2466353292
20,545.3806817532,0,-0.6752903783,1.8777231060,3.2693652096,1.2466353292
21,600.0713388920,0,-0.6752903783,1.8777231060,3.2838856712,1.2466353292
22,656.8550500870,0,-0.7726063770,1.9044600935,3.2838856712,1.2466353292
23,716.7730829716,0,-0.7726063770,1.9044600935,3.2838856712,1.0714367103
24,779.6584880352,0,-0.7726063770,1.9044600935,3.2838856712,1.0714367103
25,844.9808821678,0,-0.7726063770,2.1712786896,3.3017082083,1.0714367103
26,913.5413682461,0,-0.7726063770,2.1712786896,3.3017082083,1.0714367103
27,984.9227311611,0,-0.7726063770,2.1712786896,3.3017082083,-0.0604954024
28,1059.5399742126,0,-0.7726063770,2.1712786896,3.3017082083,-0.0604954024
29,1136.7301762104,0,-0.7726063770,1.8397953751,3.3017082083,-0.0604954024
30,1216.0027232170,0,-1.1998703074,1.9630605546,3.4380679694,-0.5790196090
31,1297.2316961288,0,-0.9089131869,2.0166172474,3.4380679694,-0.6143547333
32,1381.2857811451,0,-0.9089131869,2.0166172474,3.2318475186,-0.6143547333
33,1468.4359731674,0,-0.9089131869,2.0166172474,3.2318475186,-0.6824055694
34,1558.4132840633,0,-0.9089131869,2.0166172474,3.2318475186,-0.9355639506
35,1651.5345261097,0,-0.9089131869,2.0166172474,3.2318475186,-1.0799313449
36,1747.6153271198,0,-0.9089131869,2.0166172474,3.2318475186,-1.0799313449
37,1846.7929420471,0,-0.9089131869,2.0166172474,3.3576438699,-1.0799313449
38,1948.9311921597,0,-0.9089131869,2.0166172474,3.3576438699,-1.0799313449
39,2053.8868272305,0,-0.9089131869,2.0166172474,3.3576438699,-0.9196471428
40,2162.0841131210,0,-0.9089131869,2.0166172474,3.3576438699,-0.9196471428
41,2273.2389452457,0,-0.9089131869,2.0166172474,3.3576438699,-0.9196471428
42,2387.6321902275,0,-0.9089131869,2.0166172474,3.3576438699,-0.9196471428
43,2504.8577592373,0,-0.9089131869,2.0166172474,3.3576438699,-1.1080920592
44,2625.0527403355,0,-0.9089131869,2.0166172474,3.3576438699,-1.1080920592
45,2748.3568723202,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926
46,2874.6255414486,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926
47,3004.1303024292,0,-0.9089131869,2.0166172474,3.3576438699,-0.8675802926
48,3136.4610304832,0,-0.9089131869,2.0166172474,3.3576438699,-0.8972731158
49,3271.4083724022,0,-0.9695402977,2.0166172474,3.3576438699,-1.4124392457
50,3409.1860473156,0,-0.9695402977,2.0166172474,3.1398057785,-1.4124392457
51,3549.6501863003,0,-0.9695402977,2.0166172474,3.2914530605,-1.4529631595
52,3693.3600251675,0,-0.9695402977,2.0166172474,3.2914530605,-1.4529631595
53,3840.0330781937,0,-0.9695402977,2.0166172474,3.2914530605,-1.4529631595
54,3989.8011500835,0,-0.9695402977,2.0166172474,3.2914530605,-1.5351254743
55,4142.5638370514,0,-0.9695402977,2.0166172474,3.2914530605,-1.5351254743
56,4298.4561400414,0,-0.9695402977,2.0166172474,3.2914530605,-1.2783303197
57,4456.8261511326,0,-1.0147701271,2.0166172474,3.2914530605,-1.2783303197
58,4618.0227172375,0,-1.0147701271,2.0166172474,3.2914530605,-1.4527127702
59,4782.4611160755,0,-1.0147701271,2.0166172474,3.2914530605,-1.4527127702
60,4949.8646972179,0,-1.0147701271,2.0166172474,3.2914530605,-1.4527127702
61,5120.5170922279,0,-1.0147701271,2.0166172474,3.2914530605,-1.4527127702
62,5293.9967494011,0,-1.0147701271,2.0166172474,3.2914530605,-1.5406034822
63,5469.8154363632,0,-1.0191511314,2.0166172474,3.2914530605,-1.2146347843
64,5648.8973102570,0,-1.0191511314,2.0166172474,3.2914530605,-1.2146347843
65,5830.9451982975,0,-1.0191511314,2.0166172474,3.2914530605,-1.2146347843
66,6016.1016793251,0,-1.0191511314,2.0166172474,3.2914530605,-1.5734315765
67,6204.2293522358,0,-1.0191511314,2.0166172474,3.2914530605,-1.5734315765
68,6395.3252332211,0,-1.0191511314,2.0166172474,3.2914530605,-1.5734315765
69,6589.5375442505,0,-1.0191511314,2.0166172474,3.2914530605,-1.4598252873
70,6786.5820033550,0,-1.0191511314,2.0166172474,3.2022185775,-1.4598252873
71,6986.3876261711,0,-1.0210896118,2.0166172474,3.2022185775,-1.4598252873
72,7189.1559360027,0,-1.0210896118,2.0166172474,3.2022185775,-1.4598252873
73,7395.0298740864,0,-1.0210896118,2.0166172474,3.2303242752,-1.4598252873
74,7603.8695409298,0,-1.0210896118,2.0166172474,3.2303242752,-1.4598252873
75,7815.2010009289,0,-0.9971193882,2.0166172474,3.2303242752,-1.4598252873
76,8029.6726031303,0,-0.9971193882,2.0166172474,3.2303242752,-1.1389852695
77,8247.1065671444,0,-0.9971193882,2.0166172474,3.2303242752,-1.1389852695
78,8467.7911319733,0,-0.9971193882,2.0166172474,3.2303242752,-1.1389852695
79,8691.3036568165,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
80,8917.7809679508,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
81,9147.5077939034,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
82,9380.2005307674,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
83,9616.1469438076,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
84,9855.0759809017,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
85,10097.2618041039,0,-0.9971193882,2.0166172474,3.2303242752,-1.5152782892
86,10342.2801868916,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
87,10590.2710390091,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
88,10841.5067210197,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
89,11095.7050321102,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
90,11353.1512272358,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
91,11613.5877761841,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
92,11877.0005342960,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
93,12143.6663281918,0,-0.9971193882,2.0166172474,3.2303242752,-1.3695348016
94,12412.9224972725,0,-0.9971193882,2.0366528928,3.2303242752,-1.3695348016
95,12685.4884922504,0,-0.9971193882,2.0366528928,3.2303242752,-1.3695348016
96,12961.0246953964,0,-0.9971193882,2.0366528928,3.2303242752,-1.3695348016
97,13239.8127672672,0,-0.9971193882,2.0366528928,3.2303242752,-1.3695348016
98,13521.4305484295,0,-0.9971193882,2.0366528928,3.2303242752,-1.4457291629
99,13806.0202684402,0,-0.9971193882,2.0366528928,3.2303242752,-1.4457291629
100,14093.7258784771,0,-0.9971193882,2.0366528928,3.2303242752,-1.4137895584
